pop	node_label	y	x
1	AT_Mau_14_01	48.375	15.56
2	AT_Mau_14_02	48.375	15.56
3	TR_Yes_14_03	40.231	32.26
4	TR_Yes_14_04	40.231	32.26
5	FR_Vil_14_05	48.754	2.158
6	FR_Vil_14_07	48.754	2.158
7	FR_Got_14_08	44.977	4.93
8	UK_She_14_09	53.391	-1.521
9	UK_Sou_14_10	55.973	-3.351
10	CY_Nic_14_11	35.066	33.323
11	UK_Mar_14_12	52.476	-0.922
12	UK_Lut_14_13	52.434	-1.103
13	DE_Bro_14_14	48.218	7.82
14	DE_Bro_14_15	48.218	7.82
15	UA_Yal_14_16	44.502	34.166
16	UA_Yal_14_18	44.502	34.166
17	UA_Ode_14_19	46.442	30.772
18	UA_Ode_14_20	46.442	30.772
19	UA_Ode_14_21	46.442	30.772
20	UA_Ode_14_22	46.442	30.772
21	UA_Kyi_14_23	50.344	30.489
22	UA_Kyi_14_24	50.344	30.489
23	UA_Var_14_25	50.485	32.714
24	UA_Pyr_14_26	50.254	32.519
25	UA_Dro_14_27	49.33	23.503
26	UA_Cho_14_28	51.373	30.138
27	UA_Cho_14_29	51.387	30.073
28	SE_Lun_14_30	55.694	13.198
29	DE_Mun_14_31	48.18	11.61
30	DE_Mun_14_32	48.18	11.61
31	PT_Rec_14_33	41.15	-8.41
32	ES_Gim_14_34	41.618	0.62
33	ES_Gim_14_35	41.618	0.62
34	FI_Aka_14_36	61.1	23.52
35	FI_Aka_14_37	61.1	23.52
36	FI_Ves_14_38	62.55	26.24
37	DK_Kar_14_39	55.945	10.213
38	DK_Kar_14_41	55.945	10.213
39	CH_Cha_14_42	46.567	6.702
40	CH_Cha_14_43	46.567	6.702
41	AT_See_14_44	46.814	13.508
42	UA_Kha_14_45	49.819	36.055
43	UA_Kha_14_46	49.819	36.055
44	UA_Cho_14_47	51.273	30.221
45	UA_Cho_14_48	51.279	29.394
46	UA_Kyi_14_49	50.344	30.489
47	UA_Uma_14_50	48.753	30.206
48	RU_Val_14_51	57.979	33.244
